inst#,actual,predicted,error,prediction
7398,1:1,2:0,+,0.739
7399,1:1,2:0,+,0.694
7400,1:1,2:0,+,0.775
7401,1:1,2:0,+,0.674
7402,1:1,2:0,+,0.691
7403,1:1,1:1,,0.571
7404,1:1,2:0,+,0.535
7405,1:1,1:1,,0.55
7406,1:1,2:0,+,0.721
7407,1:1,2:0,+,0.766
7408,1:1,2:0,+,0.583
7409,1:1,2:0,+,0.553
7410,1:1,2:0,+,0.534
7411,1:1,2:0,+,0.67
7412,1:1,2:0,+,0.714
7413,1:1,2:0,+,0.652
7414,1:1,2:0,+,0.641
7415,1:1,2:0,+,0.605
7416,1:1,2:0,+,0.725
7417,1:1,1:1,,0.646
7418,1:1,2:0,+,0.749
7419,1:1,2:0,+,0.772
7420,1:1,1:1,,0.771
7421,1:1,2:0,+,0.601
7422,1:1,2:0,+,0.705
7423,1:1,1:1,,0.545
7424,1:1,2:0,+,0.789
7425,1:1,2:0,+,0.73
7426,1:1,2:0,+,0.551
7427,1:1,1:1,,0.514
7428,1:1,2:0,+,0.798
7429,1:1,2:0,+,0.772
7430,1:1,2:0,+,0.556
7431,1:1,2:0,+,0.665
7432,1:1,1:1,,0.678
7433,1:1,1:1,,0.83
7434,1:1,2:0,+,0.679
7435,1:1,2:0,+,0.698
7436,1:1,2:0,+,0.677
7437,1:1,2:0,+,0.793
7438,1:1,2:0,+,0.709
7439,1:1,2:0,+,0.562
7440,1:1,2:0,+,0.692
7441,1:1,2:0,+,0.628
7442,1:1,2:0,+,0.788
7443,1:1,1:1,,0.625
7444,1:1,2:0,+,0.565
7445,1:1,2:0,+,0.665
7446,1:1,2:0,+,0.778
7447,1:1,2:0,+,0.77
7448,1:1,2:0,+,0.59
7449,1:1,2:0,+,0.591
7450,1:1,2:0,+,0.777
7451,1:1,2:0,+,0.719
7452,1:1,2:0,+,0.733
7453,1:1,2:0,+,0.553
7454,1:1,2:0,+,0.791
7455,1:1,2:0,+,0.732
7456,1:1,2:0,+,0.636
7457,1:1,2:0,+,0.593
7458,1:1,2:0,+,0.745
7459,1:1,2:0,+,0.782
7460,1:1,2:0,+,0.74
7461,1:1,2:0,+,0.768
7462,1:1,2:0,+,0.79
7463,1:1,2:0,+,0.607
7464,1:1,2:0,+,0.626
7465,1:1,1:1,,0.509
7466,1:1,1:1,,0.571
7467,1:1,2:0,+,0.675
7468,1:1,2:0,+,0.703
7469,1:1,2:0,+,0.762
7470,1:1,2:0,+,0.792
7471,1:1,2:0,+,0.742
7472,1:1,2:0,+,0.665
7473,1:1,2:0,+,0.641
7474,1:1,2:0,+,0.718
7475,1:1,2:0,+,0.536
7476,1:1,2:0,+,0.644
7477,1:1,1:1,,0.583
7478,1:1,1:1,,0.556
7479,1:1,1:1,,0.783
7480,1:1,1:1,,0.842
7481,1:1,1:1,,0.552
7482,1:1,2:0,+,0.698
7483,1:1,2:0,+,0.554
7484,1:1,2:0,+,0.54
7485,1:1,2:0,+,0.798
7486,1:1,2:0,+,0.794
7487,1:1,2:0,+,0.772
7488,1:1,2:0,+,0.807
7489,1:1,2:0,+,0.804
7490,1:1,2:0,+,0.821
7491,1:1,1:1,,0.845
7492,1:1,1:1,,0.795
7493,1:1,1:1,,0.686
7494,1:1,2:0,+,0.571
7495,1:1,2:0,+,0.69
7496,1:1,1:1,,0.575
7497,1:1,2:0,+,0.537
7498,1:1,2:0,+,0.517
7499,1:1,1:1,,0.698
7500,1:1,2:0,+,0.56
7501,1:1,2:0,+,0.776
7502,1:1,2:0,+,0.778
7503,1:1,2:0,+,0.525
7504,1:1,2:0,+,0.739
7505,1:1,2:0,+,0.729
7506,1:1,2:0,+,0.722
7507,1:1,2:0,+,0.849
7508,1:1,2:0,+,0.743
7509,1:1,2:0,+,0.823
7510,1:1,2:0,+,0.686
7511,1:1,2:0,+,0.556
7512,1:1,2:0,+,0.831
7513,1:1,2:0,+,0.804
7514,1:1,2:0,+,0.816
7515,1:1,2:0,+,0.709
7516,1:1,2:0,+,0.81
7517,1:1,2:0,+,0.845
7518,1:1,2:0,+,0.825
7519,1:1,2:0,+,0.859
7520,1:1,2:0,+,0.623
7521,1:1,2:0,+,0.676
7522,1:1,1:1,,0.828
7523,1:1,2:0,+,0.62
7524,1:1,2:0,+,0.868
7525,1:1,2:0,+,0.813
7526,1:1,2:0,+,0.775
7527,1:1,2:0,+,0.776
7528,1:1,2:0,+,0.831
7529,1:1,2:0,+,0.812
7530,1:1,2:0,+,0.849
7531,1:1,2:0,+,0.79
7532,1:1,2:0,+,0.869
7533,1:1,2:0,+,0.861
7534,1:1,2:0,+,0.819
7535,1:1,2:0,+,0.504
7536,1:1,2:0,+,0.804
7537,1:1,2:0,+,0.899
7538,1:1,2:0,+,0.655
7539,1:1,2:0,+,0.841
7540,1:1,2:0,+,0.93
7541,1:1,2:0,+,0.627
7542,1:1,2:0,+,0.854
7543,1:1,2:0,+,0.929
7544,1:1,1:1,,0.64
7545,1:1,2:0,+,0.539
7546,1:1,2:0,+,0.854
7547,1:1,2:0,+,0.924
7548,1:1,2:0,+,0.752
7549,1:1,2:0,+,0.859
7550,1:1,2:0,+,0.82
7551,1:1,2:0,+,0.622
7552,1:1,2:0,+,0.794
7553,1:1,2:0,+,0.876
7554,1:1,2:0,+,0.741
7555,1:1,2:0,+,0.95
7556,1:1,2:0,+,0.748
7557,1:1,2:0,+,0.619
7558,1:1,2:0,+,0.878
7559,1:1,2:0,+,0.875
7560,1:1,2:0,+,0.793
7561,1:1,2:0,+,0.904
7562,1:1,2:0,+,0.895
7563,1:1,2:0,+,0.83
7564,1:1,2:0,+,0.618
7565,1:1,2:0,+,0.904
7566,1:1,2:0,+,0.818
7567,1:1,2:0,+,0.623
7568,1:1,2:0,+,0.889
7569,1:1,2:0,+,0.913
7570,1:1,2:0,+,0.625
7571,1:1,2:0,+,0.927
7572,1:1,2:0,+,0.864
7573,1:1,2:0,+,0.944
7574,1:1,2:0,+,0.807
7575,1:1,2:0,+,0.94
7576,1:1,2:0,+,0.808
7577,1:1,2:0,+,0.601
7578,1:1,1:1,,0.601
7579,1:1,2:0,+,0.853
7580,1:1,2:0,+,0.886
7581,1:1,2:0,+,0.916
7582,1:1,2:0,+,0.872
7583,1:1,2:0,+,0.807
7584,1:1,2:0,+,0.738
7585,1:1,2:0,+,0.933
7586,1:1,2:0,+,0.912
7587,1:1,2:0,+,0.877
7588,1:1,2:0,+,0.826
7589,1:1,2:0,+,0.591
7590,1:1,2:0,+,0.827
7591,1:1,2:0,+,0.91
7592,1:1,2:0,+,0.878
7593,1:1,2:0,+,0.81
7594,1:1,2:0,+,0.887
7595,1:1,2:0,+,0.866
7596,1:1,2:0,+,0.764
7597,1:1,2:0,+,0.877
7598,1:1,2:0,+,0.656
7599,1:1,2:0,+,0.89
7600,1:1,2:0,+,0.827
7601,1:1,2:0,+,0.623
7602,1:1,2:0,+,0.862
7603,1:1,2:0,+,0.877
7604,1:1,2:0,+,0.912
7605,1:1,2:0,+,0.659
7606,1:1,2:0,+,0.834
7607,1:1,2:0,+,0.932
7608,1:1,2:0,+,0.915
7609,1:1,2:0,+,0.673
7610,1:1,1:1,,0.831
7611,1:1,1:1,,0.813
7612,1:1,1:1,,0.754
7613,1:1,1:1,,0.746
7614,1:1,1:1,,0.581
7615,1:1,1:1,,0.696
7616,1:1,1:1,,0.611
7617,1:1,1:1,,0.835
7618,1:1,1:1,,0.825
7619,1:1,1:1,,0.807
7620,1:1,1:1,,0.842
7621,1:1,1:1,,0.698
7622,1:1,1:1,,0.738
7623,1:1,1:1,,0.594
7624,1:1,1:1,,0.579
7625,1:1,1:1,,0.79
7626,1:1,1:1,,0.833
7627,1:1,1:1,,0.724
7628,1:1,1:1,,0.774
7629,1:1,1:1,,0.809
7630,1:1,1:1,,0.558
7631,1:1,1:1,,0.653
7632,1:1,1:1,,0.643
7633,1:1,2:0,+,0.6
7634,1:1,1:1,,0.691
7635,1:1,2:0,+,0.581
7636,1:1,2:0,+,0.65
7637,1:1,1:1,,0.822
7638,1:1,1:1,,0.722
7639,1:1,1:1,,0.751
7640,1:1,1:1,,0.714
7641,1:1,1:1,,0.843
7642,1:1,1:1,,0.824
7643,1:1,1:1,,0.829
7644,1:1,1:1,,0.82
7645,1:1,1:1,,0.764
7646,1:1,1:1,,0.844
7647,1:1,1:1,,0.768
7648,1:1,1:1,,0.669
7649,1:1,1:1,,0.812
7650,1:1,1:1,,0.843
7651,1:1,1:1,,0.839
7652,1:1,1:1,,0.826
7653,1:1,1:1,,0.834
7654,1:1,1:1,,0.817
7655,1:1,1:1,,0.844
7656,1:1,2:0,+,0.557
7657,1:1,2:0,+,0.678
7658,1:1,2:0,+,0.532
7659,1:1,1:1,,0.532
7660,1:1,1:1,,0.532
7661,1:1,2:0,+,0.505
7662,1:1,1:1,,0.523
7663,1:1,2:0,+,0.894
7664,1:1,2:0,+,0.774
7665,1:1,1:1,,0.533
7666,1:1,1:1,,0.621
7667,1:1,1:1,,0.586
7668,1:1,1:1,,0.656
7669,1:1,1:1,,0.834
7670,1:1,1:1,,0.798
7671,1:1,1:1,,0.711
7672,1:1,1:1,,0.732
7673,1:1,1:1,,0.755
7674,1:1,1:1,,0.844
7675,1:1,1:1,,0.739
7676,1:1,1:1,,0.634
7677,1:1,1:1,,0.78
7678,1:1,1:1,,0.843
7679,1:1,1:1,,0.841
7680,1:1,1:1,,0.804
7681,1:1,1:1,,0.824
7682,1:1,1:1,,0.828
7683,1:1,1:1,,0.844
7684,1:1,1:1,,0.747
7685,1:1,1:1,,0.642
7686,1:1,1:1,,0.773
7687,1:1,1:1,,0.843
7688,1:1,1:1,,0.841
7689,1:1,1:1,,0.81
7690,1:1,1:1,,0.827
7691,1:1,1:1,,0.831
7692,1:1,1:1,,0.844
7693,1:1,1:1,,0.704
7694,1:1,1:1,,0.621
7695,1:1,1:1,,0.79
7696,1:1,1:1,,0.843
7697,1:1,1:1,,0.84
7698,1:1,1:1,,0.814
7699,1:1,1:1,,0.82
7700,1:1,1:1,,0.832
7701,1:1,1:1,,0.844
7702,1:1,1:1,,0.712
7703,1:1,1:1,,0.63
7704,1:1,1:1,,0.768
7705,1:1,1:1,,0.842
7706,1:1,1:1,,0.84
7707,1:1,1:1,,0.791
7708,1:1,1:1,,0.818
7709,1:1,1:1,,0.834
7710,1:1,1:1,,0.844
7711,1:1,1:1,,0.69
7712,1:1,1:1,,0.637
7713,1:1,1:1,,0.765
7714,1:1,1:1,,0.842
7715,1:1,1:1,,0.84
7716,1:1,1:1,,0.773
7717,1:1,1:1,,0.819
7718,1:1,1:1,,0.831
7719,1:1,1:1,,0.844
7720,1:1,2:0,+,0.612
7721,1:1,2:0,+,0.726
7722,1:1,2:0,+,0.567
7723,1:1,1:1,,0.533
7724,1:1,1:1,,0.53
7725,1:1,2:0,+,0.505
7726,1:1,1:1,,0.508
7727,1:1,2:0,+,0.883
7728,1:1,2:0,+,0.775
7729,1:1,1:1,,0.533
7730,1:1,1:1,,0.57
7731,1:1,1:1,,0.583
7732,1:1,1:1,,0.618
7733,1:1,1:1,,0.815
7734,1:1,1:1,,0.793
7735,1:1,1:1,,0.635
7736,1:1,1:1,,0.684
7737,1:1,1:1,,0.796
7738,1:1,1:1,,0.578
7739,1:1,2:0,+,0.767
7740,1:1,2:0,+,0.737
7741,1:1,1:1,,0.556
7742,1:1,1:1,,0.601
7743,1:1,1:1,,0.606
7744,1:1,1:1,,0.777
7745,1:1,2:0,+,0.534
7746,1:1,1:1,,0.506
7747,1:1,1:1,,0.684
7748,1:1,1:1,,0.616
7749,1:1,1:1,,0.726
7750,1:1,1:1,,0.789
7751,1:1,1:1,,0.752
7752,1:1,1:1,,0.827
7753,1:1,1:1,,0.506
7754,1:1,1:1,,0.614
7755,1:1,1:1,,0.64
7756,1:1,2:0,+,0.513
7757,1:1,1:1,,0.751
7758,1:1,2:0,+,0.74
7759,1:1,1:1,,0.501
7760,1:1,2:0,+,0.508
7761,1:1,1:1,,0.507
7762,1:1,2:0,+,0.512
7763,1:1,2:0,+,0.519
7764,1:1,2:0,+,0.512
7765,1:1,1:1,,0.533
7766,1:1,2:0,+,0.521
7767,1:1,2:0,+,0.773
7768,1:1,2:0,+,0.52
7769,1:1,2:0,+,0.602
7770,1:1,2:0,+,0.627
7771,1:1,1:1,,0.518
7772,1:1,2:0,+,0.788
7773,1:1,2:0,+,0.706
7774,1:1,2:0,+,0.768
7775,1:1,2:0,+,0.538
7776,1:1,2:0,+,0.654
7777,1:1,2:0,+,0.766
7778,1:1,1:1,,0.51
7779,1:1,1:1,,0.603
7780,1:1,1:1,,0.555
7781,1:1,1:1,,0.84
7782,1:1,1:1,,0.808
7783,1:1,1:1,,0.828
7784,1:1,2:0,+,0.509
7785,1:1,1:1,,0.681
7786,1:1,2:0,+,0.515
7787,1:1,1:1,,0.68
7788,1:1,1:1,,0.584
7789,1:1,1:1,,0.584
7790,1:1,1:1,,0.503
7791,1:1,1:1,,0.601
7792,1:1,1:1,,0.68
7793,1:1,1:1,,0.796
7794,1:1,1:1,,0.719
7795,1:1,1:1,,0.822
7796,1:1,2:0,+,0.541
7797,1:1,1:1,,0.562
7798,1:1,1:1,,0.61
7799,1:1,1:1,,0.792
7800,1:1,1:1,,0.653
7801,1:1,1:1,,0.592
7802,1:1,1:1,,0.744
7803,1:1,1:1,,0.752
7804,1:1,1:1,,0.668
7805,1:1,1:1,,0.805
7806,1:1,2:0,+,0.595
7807,1:1,1:1,,0.746
7808,1:1,1:1,,0.678
7809,1:1,1:1,,0.581
7810,1:1,1:1,,0.746
7811,1:1,1:1,,0.82
7812,1:1,1:1,,0.757
7813,1:1,1:1,,0.818
7814,1:1,2:0,+,0.586
7815,1:1,1:1,,0.73
7816,1:1,1:1,,0.81
7817,1:1,1:1,,0.766
7818,1:1,2:0,+,0.589
7819,1:1,2:0,+,0.748
7820,1:1,1:1,,0.528
7821,1:1,1:1,,0.546
7822,1:1,1:1,,0.605
7823,1:1,2:0,+,0.574
7824,1:1,1:1,,0.691
7825,1:1,2:0,+,0.634
7826,1:1,1:1,,0.614
7827,1:1,2:0,+,0.54
7828,1:1,2:0,+,0.562
7829,1:1,1:1,,0.704
7830,1:1,2:0,+,0.527
7831,1:1,2:0,+,0.712
7832,1:1,1:1,,0.592
7833,1:1,2:0,+,0.7
7834,1:1,1:1,,0.542
7835,1:1,2:0,+,0.774
7836,1:1,1:1,,0.506
7837,1:1,1:1,,0.563
7838,1:1,1:1,,0.592
7839,1:1,1:1,,0.686
7840,1:1,1:1,,0.597
7841,1:1,1:1,,0.627
7842,1:1,1:1,,0.763
7843,1:1,1:1,,0.672
7844,1:1,1:1,,0.803
7845,1:1,2:0,+,0.623
7846,1:1,1:1,,0.534
7847,1:1,2:0,+,0.557
7848,1:1,2:0,+,0.753
7849,1:1,1:1,,0.674
7850,1:1,1:1,,0.586
7851,1:1,1:1,,0.74
7852,1:1,1:1,,0.771
7853,1:1,1:1,,0.631
7854,1:1,1:1,,0.774
7855,1:1,2:0,+,0.598
7856,1:1,1:1,,0.675
7857,1:1,1:1,,0.567
7858,1:1,1:1,,0.579
7859,1:1,1:1,,0.625
7860,1:1,1:1,,0.789
7861,1:1,1:1,,0.72
7862,1:1,1:1,,0.774
7863,1:1,2:0,+,0.571
7864,1:1,1:1,,0.663
7865,1:1,1:1,,0.633
7866,1:1,1:1,,0.555
7867,1:1,1:1,,0.631
7868,1:1,1:1,,0.696
7869,1:1,2:0,+,0.649
7870,1:1,2:0,+,0.689
7871,1:1,1:1,,0.582
7872,1:1,1:1,,0.577
7873,1:1,1:1,,0.696
7874,1:1,1:1,,0.713
7875,1:1,2:0,+,0.548
7876,1:1,1:1,,0.671
7877,1:1,1:1,,0.668
7878,1:1,1:1,,0.794
7879,1:1,2:0,+,0.657
7880,1:1,1:1,,0.534
7881,1:1,1:1,,0.626
7882,1:1,1:1,,0.728
7883,1:1,1:1,,0.798
7884,1:1,2:0,+,0.596
7885,1:1,1:1,,0.531
7886,1:1,2:0,+,0.701
7887,1:1,1:1,,0.581
7888,1:1,1:1,,0.707
7889,1:1,1:1,,0.598
7890,1:1,1:1,,0.549
7891,1:1,1:1,,0.633
7892,1:1,2:0,+,0.667
7893,1:1,1:1,,0.764
7894,1:1,2:0,+,0.744
7895,1:1,2:0,+,0.615
7896,1:1,2:0,+,0.636
7897,1:1,2:0,+,0.768
7898,1:1,2:0,+,0.55
7899,1:1,2:0,+,0.714
7900,1:1,2:0,+,0.668
7901,1:1,1:1,,0.625
7902,1:1,1:1,,0.757
7903,1:1,2:0,+,0.541
7904,1:1,2:0,+,0.706
7905,1:1,1:1,,0.525
7906,1:1,1:1,,0.542
7907,1:1,1:1,,0.582
7908,1:1,2:0,+,0.586
7909,1:1,1:1,,0.582
7910,1:1,1:1,,0.606
7911,1:1,1:1,,0.752
7912,1:1,2:0,+,0.519
7913,1:1,1:1,,0.787
7914,1:1,2:0,+,0.713
7915,1:1,2:0,+,0.597
7916,1:1,2:0,+,0.617
7917,1:1,1:1,,0.506
7918,1:1,1:1,,0.525
7919,1:1,1:1,,0.558
7920,1:1,1:1,,0.572
7921,1:1,1:1,,0.626
7922,1:1,1:1,,0.59
7923,1:1,1:1,,0.752
7924,1:1,2:0,+,0.875
7925,1:1,1:1,,0.506
7926,1:1,1:1,,0.649
7927,1:1,1:1,,0.511
7928,1:1,2:0,+,0.767
7929,1:1,2:0,+,0.603
7930,1:1,2:0,+,0.514
7931,1:1,2:0,+,0.578
7932,1:1,1:1,,0.613
7933,1:1,2:0,+,0.685
7934,1:1,2:0,+,0.602
7935,1:1,2:0,+,0.542
7936,1:1,2:0,+,0.676
7937,1:1,2:0,+,0.691
7938,1:1,2:0,+,0.779
7939,1:1,2:0,+,0.53
7940,1:1,2:0,+,0.751
7941,1:1,2:0,+,0.67
7942,1:1,2:0,+,0.561
7943,1:1,2:0,+,0.609
7944,1:1,2:0,+,0.542
7945,1:1,2:0,+,0.638
7946,1:1,1:1,,0.76
7947,1:1,2:0,+,0.69
7948,1:1,2:0,+,0.611
7949,1:1,2:0,+,0.555
7950,1:1,2:0,+,0.717
7951,1:1,2:0,+,0.552
7952,1:1,2:0,+,0.599
7953,1:1,2:0,+,0.608
7954,1:1,1:1,,0.631
7955,1:1,1:1,,0.768
7956,1:1,2:0,+,0.893
7957,1:1,1:1,,0.569
7958,1:1,1:1,,0.604
7959,1:1,2:0,+,0.597
7960,1:1,1:1,,0.735
7961,1:1,2:0,+,0.818
7962,1:1,1:1,,0.681
7963,1:1,2:0,+,0.5
7964,1:1,1:1,,0.54
7965,1:1,1:1,,0.54
7966,1:1,2:0,+,0.639
7967,1:1,1:1,,0.515
7968,1:1,1:1,,0.568
7969,1:1,1:1,,0.656
7970,1:1,2:0,+,0.545
7971,1:1,1:1,,0.781
7972,1:1,2:0,+,0.674
7973,1:1,2:0,+,0.508
7974,1:1,2:0,+,0.657
7975,1:1,1:1,,0.528
7976,1:1,1:1,,0.617
7977,1:1,1:1,,0.7
7978,1:1,2:0,+,0.89
7979,1:1,2:0,+,0.502
7980,1:1,1:1,,0.585
7981,1:1,1:1,,0.662
7982,1:1,2:0,+,0.892
7983,1:1,1:1,,0.557
7984,1:1,1:1,,0.844
7985,1:1,1:1,,0.844
7986,1:1,1:1,,0.798
7987,1:1,1:1,,0.842
7988,1:1,1:1,,0.838
7989,1:1,1:1,,0.843
7990,1:1,1:1,,0.832
7991,1:1,1:1,,0.845
7992,1:1,1:1,,0.826
7993,1:1,1:1,,0.66
7994,1:1,1:1,,0.79
7995,1:1,1:1,,0.801
7996,1:1,1:1,,0.81
7997,1:1,1:1,,0.798
7998,1:1,2:0,+,0.653
7999,1:1,1:1,,0.587
8000,1:1,1:1,,0.768
8001,1:1,1:1,,0.608
8002,1:1,1:1,,0.791
8003,1:1,1:1,,0.804
8004,1:1,1:1,,0.813
8005,1:1,1:1,,0.805
8006,1:1,2:0,+,0.65
8007,1:1,2:0,+,0.879
8008,1:1,2:0,+,0.879
8009,1:1,1:1,,0.579
8010,1:1,1:1,,0.778
8011,1:1,1:1,,0.607
8012,1:1,1:1,,0.802
8013,1:1,1:1,,0.79
8014,1:1,1:1,,0.792
8015,1:1,1:1,,0.792
8016,1:1,1:1,,0.845
8017,1:1,1:1,,0.833
8018,1:1,1:1,,0.597
8019,1:1,1:1,,0.799
8020,1:1,1:1,,0.787
8021,1:1,1:1,,0.806
8022,1:1,1:1,,0.788
8023,1:1,1:1,,0.845
8024,1:1,1:1,,0.829
8025,1:1,1:1,,0.603
8026,1:1,1:1,,0.783
8027,1:1,1:1,,0.793
8028,1:1,1:1,,0.805
8029,1:1,1:1,,0.782
8030,1:1,1:1,,0.845
8031,1:1,1:1,,0.829
8032,1:1,1:1,,0.6
8033,1:1,1:1,,0.776
8034,1:1,1:1,,0.791
8035,1:1,1:1,,0.811
8036,1:1,1:1,,0.778
8037,1:1,1:1,,0.845
8038,1:1,1:1,,0.826
8039,1:1,1:1,,0.593
8040,1:1,1:1,,0.775
8041,1:1,1:1,,0.774
8042,1:1,1:1,,0.808
8043,1:1,1:1,,0.772
8044,1:1,2:0,+,0.652
8045,1:1,2:0,+,0.88
8046,1:1,1:1,,0.569
8047,1:1,1:1,,0.77
8048,1:1,1:1,,0.596
8049,1:1,1:1,,0.773
8050,1:1,1:1,,0.767
8051,1:1,1:1,,0.807
8052,1:1,1:1,,0.766
8053,1:1,2:0,+,0.654
8054,1:1,1:1,,0.574
8055,1:1,1:1,,0.802
8056,1:1,1:1,,0.59
8057,1:1,1:1,,0.764
8058,1:1,1:1,,0.75
8059,1:1,1:1,,0.793
8060,1:1,1:1,,0.755
8061,1:1,1:1,,0.845
8062,1:1,1:1,,0.83
8063,1:1,1:1,,0.638
8064,1:1,1:1,,0.824
8065,1:1,1:1,,0.825
8066,1:1,1:1,,0.833
8067,1:1,1:1,,0.823
8068,1:1,1:1,,0.844
8069,1:1,1:1,,0.845
8070,1:1,1:1,,0.844
8071,1:1,1:1,,0.845
8072,1:1,1:1,,0.844
8073,1:1,1:1,,0.845
8074,1:1,1:1,,0.844
8075,1:1,1:1,,0.845
8076,1:1,1:1,,0.843
8077,1:1,1:1,,0.845
8078,1:1,1:1,,0.82
8079,1:1,1:1,,0.845
8080,1:1,1:1,,0.588
8081,1:1,1:1,,0.662
8082,1:1,1:1,,0.81
8083,1:1,1:1,,0.804
8084,1:1,1:1,,0.682
8085,1:1,2:0,+,0.746
8086,1:1,2:0,+,0.697
8087,1:1,2:0,+,0.683
8088,1:1,2:0,+,0.865
8089,1:1,2:0,+,0.526
8090,1:1,1:1,,0.544
8091,1:1,1:1,,0.562
8092,1:1,1:1,,0.538
8093,1:1,1:1,,0.733
8094,1:1,1:1,,0.585
8095,1:1,1:1,,0.597
8096,1:1,1:1,,0.662
8097,1:1,1:1,,0.697
8098,1:1,1:1,,0.714
8099,1:1,1:1,,0.797
8100,1:1,1:1,,0.713
8101,1:1,1:1,,0.725
8102,1:1,1:1,,0.764
8103,1:1,1:1,,0.785
8104,1:1,1:1,,0.765
8105,1:1,1:1,,0.827
8106,1:1,1:1,,0.792
8107,1:1,1:1,,0.819
8108,1:1,1:1,,0.517
8109,1:1,1:1,,0.815
8110,1:1,1:1,,0.823
8111,1:1,1:1,,0.784
8112,1:1,1:1,,0.838
8113,1:1,1:1,,0.826
8114,1:1,1:1,,0.835
8115,1:1,1:1,,0.567
8116,1:1,1:1,,0.835
8117,1:1,1:1,,0.837
8118,1:1,1:1,,0.794
8119,1:1,1:1,,0.842
8120,1:1,1:1,,0.837
8121,1:1,1:1,,0.84
8122,1:1,1:1,,0.585
8123,1:1,1:1,,0.84
8124,1:1,1:1,,0.842
8125,1:1,1:1,,0.801
8126,1:1,1:1,,0.843
8127,1:1,1:1,,0.841
8128,1:1,1:1,,0.842
8129,1:1,1:1,,0.59
8130,1:1,1:1,,0.843
8131,1:1,1:1,,0.843
8132,1:1,1:1,,0.807
8133,1:1,1:1,,0.844
8134,1:1,1:1,,0.842
8135,1:1,1:1,,0.843
8136,1:1,1:1,,0.592
8137,1:1,1:1,,0.844
8138,1:1,1:1,,0.844
8139,1:1,1:1,,0.81
8140,1:1,1:1,,0.844
8141,1:1,1:1,,0.842
8142,1:1,1:1,,0.843
8143,1:1,1:1,,0.592
8144,1:1,1:1,,0.844
8145,1:1,1:1,,0.844
8146,1:1,1:1,,0.814
8147,1:1,1:1,,0.844
8148,1:1,1:1,,0.842
8149,1:1,1:1,,0.844
8150,1:1,1:1,,0.591
8151,1:1,1:1,,0.843
8152,1:1,1:1,,0.844
8153,1:1,1:1,,0.818
8154,1:1,1:1,,0.844
8155,1:1,1:1,,0.843
8156,1:1,1:1,,0.844
8157,1:1,1:1,,0.593
8158,1:1,1:1,,0.844
8159,1:1,1:1,,0.844
8160,1:1,1:1,,0.821
8161,1:1,1:1,,0.844
8162,1:1,1:1,,0.842
8163,1:1,1:1,,0.829
8164,1:1,1:1,,0.844
8165,1:1,1:1,,0.844
8166,1:1,1:1,,0.823
8167,1:1,1:1,,0.844
8168,1:1,1:1,,0.842
8169,1:1,1:1,,0.828
8170,1:1,1:1,,0.844
8171,1:1,1:1,,0.844
8172,1:1,1:1,,0.822
8173,1:1,1:1,,0.844
8174,1:1,1:1,,0.842
8175,1:1,1:1,,0.822
8176,1:1,1:1,,0.844
8177,1:1,1:1,,0.844
8178,1:1,1:1,,0.828
8179,1:1,1:1,,0.844
8180,1:1,1:1,,0.842
8181,1:1,1:1,,0.825
8182,1:1,1:1,,0.843
8183,1:1,1:1,,0.844
8184,1:1,1:1,,0.825
8185,1:1,1:1,,0.844
8186,1:1,1:1,,0.841
8187,1:1,1:1,,0.844
8188,1:1,1:1,,0.588
8189,1:1,1:1,,0.844
8190,1:1,1:1,,0.844
8191,1:1,1:1,,0.831
8192,1:1,1:1,,0.844
8193,1:1,1:1,,0.842
8194,1:1,1:1,,0.844
8195,1:1,1:1,,0.585
8196,1:1,1:1,,0.844
8197,1:1,1:1,,0.844
8198,1:1,1:1,,0.833
8199,1:1,1:1,,0.844
8200,1:1,1:1,,0.841
8201,1:1,1:1,,0.844
8202,1:1,1:1,,0.584
8203,1:1,1:1,,0.844
8204,1:1,1:1,,0.844
8205,1:1,1:1,,0.834
8206,1:1,1:1,,0.844
8207,1:1,1:1,,0.84
8208,1:1,1:1,,0.844
8209,1:1,1:1,,0.586
8210,1:1,1:1,,0.844
8211,1:1,1:1,,0.844
8212,1:1,1:1,,0.835
8213,1:1,1:1,,0.844
8214,1:1,1:1,,0.84
8215,1:1,1:1,,0.844
8216,1:1,1:1,,0.584
8217,1:1,1:1,,0.844
8218,1:1,1:1,,0.844
8219,1:1,1:1,,0.837
8220,1:1,1:1,,0.844
8221,1:1,1:1,,0.841
8222,1:1,1:1,,0.844
8223,1:1,1:1,,0.583
8224,1:1,1:1,,0.844
8225,1:1,1:1,,0.844
8226,1:1,1:1,,0.837
8227,1:1,1:1,,0.844
8228,1:1,1:1,,0.839
8229,1:1,1:1,,0.844
8230,1:1,1:1,,0.582
8231,1:1,1:1,,0.843
8232,1:1,1:1,,0.844
8233,1:1,1:1,,0.838
8234,1:1,1:1,,0.844
8235,1:1,1:1,,0.84
8236,1:1,1:1,,0.801
8237,1:1,1:1,,0.842
8238,1:1,1:1,,0.844
8239,1:1,1:1,,0.839
8240,1:1,1:1,,0.845
8241,1:1,1:1,,0.838
8242,1:1,1:1,,0.808
8243,1:1,1:1,,0.843
8244,1:1,1:1,,0.844
8245,1:1,1:1,,0.838
8246,1:1,1:1,,0.845
8247,1:1,1:1,,0.839
8248,1:1,1:1,,0.806
8249,1:1,1:1,,0.843
8250,1:1,1:1,,0.844
8251,1:1,1:1,,0.839
